CDG LHR
LHR JFK
JFK LAX
LAX ORD
ORD ATL
ATL DXB
DXB HND
HND SIN
SIN FRA
FRA AMS
AMS MAD
MAD BCN
BCN FCO
FCO ZRH
ZRH VIE
VIE PRG
PRG BUD
BUD WAW
WAW IST
IST DOH
DOH DEL
DEL BOM
BOM BKK
BKK KUL
KUL CGK
CGK SYD
SYD MEL
MEL AKL
AKL SFO
SFO SEA
SEA YVR
YVR YYZ
YYZ BOS
BOS MIA
MIA MEX
MEX GRU
GRU EZE
EZE SCL
SCL LIM
LIM BOG
BOG PTY
PTY HAV
HAV CUN
CUN LAS
LAS PHX
PHX DEN
DEN DFW
DFW IAH
IAH MSP
MSP DTW
DTW PHL
PHL DCA
DCA IAD
IAD BWI
BWI SAN
SAN SJC
SJC OAK
OAK SLC
SLC RNO
RNO SMF
SMF PDX
PDX ANC
ANC HNL
HNL NRT
NRT ICN
ICN PVG
PVG PEK
PEK SHA
SHA CAN
CAN SZX
SZX TPE
TPE MNL
MNL DPS
DPS BNE
BNE PER
PER CDG
